generation_id,prompt_condition,transport_success,valid_rows,invalid_rows,exact_100_valid_rows,fit_valid,fit_reason,adjusted_r2,cv_r2,condition_number,beta_residential_density,beta_functional_mix,beta_short_blocks,beta_aged_buildings,beta_tall_buildings,unique_ratio_residential_density,unique_ratio_functional_mix,unique_ratio_mean_block_area_m2,unique_ratio_aged_buildings,unique_ratio_tall_buildings,unique_ratio_pedestrian_activity
vitality_blueprint_042,Blueprint prompt,1,100,0,1,1,,0.9919653504939558,0.9911899854297654,18.498088739889845,0.4242289276261035,0.1730495866519872,0.2545022669690261,-0.0572704028436141,0.1180852673949105,0.65,0.25,0.76,0.65,0.33,0.83
vitality_baseline_043,Baseline prompt,1,100,0,1,1,,0.967000697110257,0.9625610590134912,10.080960287234722,0.7148782416663957,0.0878215425307065,-0.0088374882715868,-0.2433818277934347,-0.0414617902643912,0.19,0.09,0.16,0.08,0.07,0.3
vitality_blueprint_043,Blueprint prompt,1,100,0,1,1,,0.9842112561746448,0.9805540854801073,16.894279788388122,0.8271650359981535,0.315472113260969,-0.0051631157979605,-0.027301636087893,-0.1337783271130423,0.39,0.22,0.48,0.17,0.4,0.43
vitality_baseline_044,Baseline prompt,1,100,0,1,1,,0.9868380601252328,0.9854250936377824,19.364753708155902,0.501652002706785,0.21746956630501,0.1400156761435658,0.0401612635592967,0.1039712593012326,0.42,0.59,0.7,0.61,0.35,0.77
vitality_blueprint_044,Blueprint prompt,1,100,0,1,1,,0.9784031696201212,0.9757027363164312,17.321342956809456,0.8284231947693893,0.1135520996431692,0.2350132839610019,0.0168086441109162,-0.2116462804719616,0.35,0.27,0.56,0.16,0.39,0.38
vitality_baseline_045,Baseline prompt,1,100,0,1,1,,0.9818510913694272,0.9800467724989128,11.742102951826986,0.720437867040721,0.0093927178139452,0.1179295790105074,-0.0388387905306109,0.1250370322015854,0.29,0.11,0.41,0.1,0.15,0.28
vitality_blueprint_045,Blueprint prompt,1,100,0,1,1,,0.981693830485538,0.9794544701075548,16.70649153425203,0.6993999501716586,0.3373119379865897,0.035574189177191,-0.1045105029690698,-0.1885170388124951,0.49,0.26,0.37,0.54,0.38,0.62
vitality_baseline_046,Baseline prompt,1,100,0,1,1,,0.9712409640805882,0.9674645100806416,19.268448888187425,0.5334090266829237,0.4748472603912975,0.021369516153878,-0.1181834050375814,-0.1580064011193067,0.23,0.24,0.45,0.24,0.24,0.33
vitality_blueprint_046,Blueprint prompt,1,100,0,1,1,,0.9936351553217592,0.9923035390903812,19.870499087400063,0.6048611669168598,0.1723976659361355,0.1861840309878662,-0.0252436234163008,0.0184993650019787,0.42,0.26,0.57,0.34,0.39,0.56
vitality_baseline_047,Baseline prompt,1,100,0,1,1,,0.9808672796682668,0.9796462452023804,13.26975770515126,0.8758715175664679,0.3456725713338876,-0.1228513125436091,-0.0434891562302938,-0.0576795489465952,0.44,0.09,0.49,0.09,0.09,0.37
vitality_blueprint_047,Blueprint prompt,1,100,0,1,1,,0.9776671339773944,0.9728738924547506,13.292752805297258,0.7986483217959547,0.0307260515740048,0.0953547000045586,-0.1920237208402686,-0.1167699382437649,0.46,0.26,0.42,0.46,0.43,0.62
